iter	Passed	Remaining
0	149	149296
1	156	78104
2	164	54558
3	171	42656
4	179	35746
5	184	30630
6	189	26925
7	194	24079
8	197	21714
9	199	19785
10	202	18211
11	205	16878
12	207	15748
13	209	14785
14	212	13953
15	214	13216
16	217	12580
17	220	12015
18	222	11510
19	225	11069
20	228	10657
21	231	10281
22	233	9915
23	236	9600
24	239	9321
25	241	9054
26	244	8804
27	247	8574
28	249	8353
29	251	8143
30	254	7943
31	256	7767
32	259	7600
33	261	7437
34	264	7287
35	266	7143
36	269	7004
37	271	6872
38	273	6745
39	276	6634
40	278	6522
41	281	6416
42	283	6311
43	285	6212
44	288	6120
45	290	6030
46	293	5957
47	296	5888
48	300	5825
49	302	5748
50	305	5691
51	308	5626
52	311	5563
53	315	5520
54	317	5454
55	320	5401
56	324	5365
57	327	5321
58	331	5287
59	334	5234
60	337	5192
61	340	5145
62	343	5104
63	345	5056
64	348	5006
65	350	4956
66	353	4922
67	356	4880
68	357	4819
69	359	4774
70	361	4732
71	364	4693
72	366	4654
73	369	4620
74	371	4587
75	375	4565
76	377	4530
77	380	4494
78	382	4460
79	385	4437
80	388	4408
81	391	4386
82	394	4357
83	396	4327
84	399	4297
85	402	4276
86	404	4249
87	408	4231
88	411	4207
89	414	4186
90	417	4173
91	421	4156
92	424	4142
93	427	4120
94	430	4099
95	433	4084
96	436	4063
97	440	4052
98	443	4036
99	446	4017
100	450	4008
101	454	4002
102	458	3995
103	462	3981
104	465	3969
105	468	3955
106	472	3945
107	476	3936
108	480	3927
109	483	3913
110	487	3900
111	490	3889
112	493	3876
113	497	3863
114	500	3851
115	505	3849
116	508	3839
117	512	3834
118	516	3825
119	519	3811
120	523	3800
121	525	3783
122	529	3773
123	532	3759
124	536	3755
125	539	3745
126	543	3735
127	546	3722
128	549	3707
129	552	3696
130	554	3681
131	558	3671
132	561	3660
133	564	3646
134	567	3633
135	570	3622
136	573	3611
137	575	3597
138	578	3584
139	581	3571
140	584	3558
141	587	3547
142	590	3537
143	593	3530
144	596	3519
145	599	3508
146	603	3500
147	606	3491
148	609	3481
149	612	3471
150	617	3473
151	620	3464
152	624	3455
153	627	3446
154	630	3437
155	633	3427
156	637	3420
157	640	3412
158	643	3404
159	646	3395
160	649	3386
161	653	3378
162	656	3372
163	659	3363
164	663	3355
165	666	3347
166	669	3339
167	672	3330
168	675	3323
169	679	3317
170	682	3309
171	685	3302
172	689	3294
173	692	3287
174	695	3279
175	698	3272
176	703	3273
177	707	3268
178	711	3262
179	714	3255
180	717	3247
181	721	3240
182	724	3233
183	727	3226
184	730	3219
185	733	3212
186	737	3204
187	740	3197
188	743	3190
189	746	3183
190	753	3190
191	756	3182
192	759	3176
193	762	3169
194	766	3164
195	769	3157
196	772	3150
197	776	3146
198	779	3138
199	783	3132
200	786	3125
201	789	3119
202	792	3111
203	795	3105
204	799	3099
205	803	3097
206	807	3093
207	810	3087
208	814	3082
209	817	3075
210	821	3072
211	825	3070
212	829	3065
213	833	3061
214	837	3056
215	840	3049
216	843	3044
217	847	3038
218	851	3036
219	856	3035
220	859	3029
221	865	3033
222	869	3028
223	873	3024
224	877	3022
225	880	3016
226	884	3010
227	887	3005
228	890	2999
229	894	2994
230	897	2988
231	900	2982
232	904	2978
233	908	2973
234	911	2967
235	915	2962
236	918	2956
237	921	2950
238	924	2945
239	928	2939
240	931	2933
241	934	2927
242	937	2921
243	942	2920
244	946	2915
245	953	2921
246	957	2919
247	960	2913
248	963	2907
249	967	2901
250	970	2897
251	974	2893
252	977	2887
253	980	2880
254	983	2874
255	988	2871
256	991	2866
257	994	2860
258	997	2854
259	1000	2848
260	1004	2843
261	1007	2838
262	1010	2832
263	1014	2826
264	1017	2821
265	1020	2816
266	1023	2810
267	1027	2805
268	1030	2799
269	1033	2794
270	1036	2789
271	1040	2783
272	1043	2778
273	1046	2772
274	1049	2767
275	1052	2760
276	1055	2754
277	1058	2749
278	1061	2744
279	1064	2737
280	1067	2731
281	1070	2725
282	1073	2720
